acc,tax_id,rank,name,total_count,self_count,ilevel,ileft,iright
SRR21839286,37124,species,Chikungunya virus,146345,146345,9,0,0
SRR7617041,37124,species,Chikungunya virus,156600,156600,9,0,0
SRR8868556,37124,species,Chikungunya virus,5741,5740,9,136,138
SRR23826957,37124,species,Chikungunya virus,380,380,9,1008,1008
SRR13335970,37124,species,Chikungunya virus,20,20,9,19,19
SRR7616851,37124,species,Chikungunya virus,118511,118511,9,0,0
SRR10222627,37124,species,Chikungunya virus,54,54,5,141,141
SRR20204131,37124,species,Chikungunya virus,448,448,9,419,419
SRR20307497,37124,species,Chikungunya virus,11589,11589,9,291,291
SRR13712259,37124,species,Chikungunya virus,29374,29373,9,0,2
SRR27187209,37124,species,Chikungunya virus,219996,219995,9,104,106
SRR7617198,37124,species,Chikungunya virus,59124,59124,9,0,0
SRR7609184,37124,species,Chikungunya virus,3959,3959,9,0,0
SRR28351512,37124,species,Chikungunya virus,466,466,9,614,614
SRR6339390,37124,species,Chikungunya virus,41,41,7,37,37
SRR12678729,37124,species,Chikungunya virus,62527,62525,9,3095,3097
SRR6339371,37124,species,Chikungunya virus,83,83,7,27,27
SRR6339346,37124,species,Chikungunya virus,265,265,7,22,22
SRR7616114,37124,species,Chikungunya virus,21539,21539,9,0,0
SRR33295659,37124,species,Chikungunya virus,634,634,9,311,311
SRR31699930,37124,species,Chikungunya virus,804990,804989,9,0,2
SRR6339413,37124,species,Chikungunya virus,424,424,7,23,23
SRR7616823,37124,species,Chikungunya virus,29948,29948,9,0,0
SRR20204182,37124,species,Chikungunya virus,71,71,9,330,330
DRR155259,37124,species,Chikungunya virus,2862,2862,5,0,0
SRR7617169,37124,species,Chikungunya virus,239667,239667,9,0,0
SRR5680384,37124,species,Chikungunya virus,1829,1829,7,488,488
SRR28752878,37124,species,Chikungunya virus,2606,2606,9,90,90
SRR22579351,37124,species,Chikungunya virus,8045271,8045271,9,278,278
SRR23826945,37124,species,Chikungunya virus,28,28,9,848,848
SRR13016547,37124,species,Chikungunya virus,49,49,9,352,352
SRR12678725,37124,species,Chikungunya virus,5056,5056,9,48,48
SRR7609178,37124,species,Chikungunya virus,2264,2264,9,0,0
SRR18191202,37124,species,Chikungunya virus,45239849,45239849,9,0,0
SRR8521498,37124,species,Chikungunya virus,75,75,9,566,566
SRR24967190,37124,species,Chikungunya virus,195575,195574,9,0,2
SRR14582683,37124,species,Chikungunya virus,30,30,9,533,533
SRR28752886,37124,species,Chikungunya virus,171,171,9,98,98
SRR27187218,37124,species,Chikungunya virus,850400,850392,9,119,121
ERR13917487,37124,species,Chikungunya virus,29,29,9,56,56
SRR32463598,37124,species,Chikungunya virus,93749,93749,9,0,0
SRR32463603,37124,species,Chikungunya virus,59932,59932,9,0,0
SRR14582703,37124,species,Chikungunya virus,26506,26506,9,431,431
SRR17661370,37124,species,Chikungunya virus,6558,6558,9,280,280
SRR7612586,37124,species,Chikungunya virus,90989,90989,9,0,0
SRR8487235,37124,species,Chikungunya virus,24,24,6,154,154
SRR11599852,37124,species,Chikungunya virus,398,398,5,188,188
SRR7617311,37124,species,Chikungunya virus,3671,3671,9,0,0
SRR33295823,37124,species,Chikungunya virus,45,45,9,319,319
SRR11356404,37124,species,Chikungunya virus,32,32,5,1,1
SRR11599842,37124,species,Chikungunya virus,202,202,5,276,276
SRR7616811,37124,species,Chikungunya virus,53459,53459,9,0,0
SRR7613249,37124,species,Chikungunya virus,38377,38377,9,0,0
SRR7616798,37124,species,Chikungunya virus,122089,122089,9,0,0
SRR30725443,37124,species,Chikungunya virus,29,29,9,307,307
SRR10584781,37124,species,Chikungunya virus,11739,11739,9,150,150
SRR8476455,37124,species,Chikungunya virus,2863,2863,9,1266,1266
SRR21839285,37124,species,Chikungunya virus,98261,98261,9,0,0
SRR647666,37124,species,Chikungunya virus,968,968,7,1225,1225
SRR6339320,37124,species,Chikungunya virus,68,68,7,32,32
SRR6815175,37124,species,Chikungunya virus,103590,103561,9,0,2
SRR7617043,37124,species,Chikungunya virus,85856,85856,9,0,0
SRR11835635,37124,species,Chikungunya virus,599,599,5,2,2
ERR4026995,37124,species,Chikungunya virus,518531,518523,5,158,160
SRR9126577,37124,species,Chikungunya virus,149,149,5,213,213
SRR10859265,37124,species,Chikungunya virus,303,303,6,214,214
SRR11356375,37124,species,Chikungunya virus,7007093,7005610,5,0,2
SRR6808648,37124,species,Chikungunya virus,385,385,6,472,472
SRR6815102,37124,species,Chikungunya virus,94230,94226,9,0,2
SRR7613420,37124,species,Chikungunya virus,120391,120391,9,0,0
ERR13917535,37124,species,Chikungunya virus,18,18,9,28,28
ERR13917452,37124,species,Chikungunya virus,31,31,9,79,79
SRR11356381,37124,species,Chikungunya virus,46,46,5,3,3
SRR31699950,37124,species,Chikungunya virus,993972,993969,9,0,2
SRR28825895,37124,species,Chikungunya virus,167,167,9,222,222
SRR7616832,37124,species,Chikungunya virus,59907,59907,9,0,0
SRR24957639,37124,species,Chikungunya virus,880030,880028,9,0,2
SRR7617117,37124,species,Chikungunya virus,22273,22273,9,0,0
SRR21118860,37124,species,Chikungunya virus,170,170,9,160,160
SRR7612745,37124,species,Chikungunya virus,97355,97355,9,0,0
SRR14758802,37124,species,Chikungunya virus,2991,2991,9,313,313
SRR7613703,37124,species,Chikungunya virus,35823,35823,9,0,0
SRR7613597,37124,species,Chikungunya virus,81571,81571,9,0,0
SRR32463534,37124,species,Chikungunya virus,505,505,9,9,9
SRR25168422,37124,species,Chikungunya virus,14979,14979,9,764,764
SRR31771668,37124,species,Chikungunya virus,265,265,9,472,472
SRR7609214,37124,species,Chikungunya virus,36111,36111,9,0,0
SRR31368748,37124,species,Chikungunya virus,24,24,9,332,332
SRR21839290,37124,species,Chikungunya virus,84510,84510,9,0,0
SRR7613381,37124,species,Chikungunya virus,5905,5905,9,97,97
SRR7617127,37124,species,Chikungunya virus,59073,59073,9,0,0
SRR18433513,37124,species,Chikungunya virus,35126,35118,9,222,224
SRR7613243,37124,species,Chikungunya virus,28324,28324,9,0,0
SRR20630439,37124,species,Chikungunya virus,44,44,9,467,467
SRR6815106,37124,species,Chikungunya virus,93630,93613,9,0,2
SRR7616824,37124,species,Chikungunya virus,116222,116222,9,0,0
SRR6808635,37124,species,Chikungunya virus,1603,1603,6,439,439
SRR17148816,37124,species,Chikungunya virus,238,238,9,143,143
SRR16915083,37124,species,Chikungunya virus,89188,89184,9,750,752
SRR10769518,37124,species,Chikungunya virus,23,23,5,524,524
ERR4634250,37124,species,Chikungunya virus,4524,4524,9,0,0
SRR28383157,37124,species,Chikungunya virus,43718,43717,9,0,2
SRR22418686,37124,species,Chikungunya virus,654,654,9,2185,2185
SRR9833361,37124,species,Chikungunya virus,27,27,5,127,127
SRR6026610,37124,species,Chikungunya virus,28,28,9,3349,3349
SRR7617148,37124,species,Chikungunya virus,111120,111120,9,0,0
SRR30037980,37124,species,Chikungunya virus,354709,354707,9,0,2
SRR6339261,37124,species,Chikungunya virus,73,73,7,26,26
SRR11715769,37124,species,Chikungunya virus,398,398,5,185,185
ERR3131359,37124,species,Chikungunya virus,65587,65587,9,0,0
SRR26965271,37124,species,Chikungunya virus,120368,120368,9,0,0
SRR15887303,37124,species,Chikungunya virus,94,94,9,243,243
SRR7993760,37124,species,Chikungunya virus,206411,206411,6,0,0
SRR31724198,37124,species,Chikungunya virus,46,46,9,8945,8945
SRR5680308,37124,species,Chikungunya virus,11385,11385,7,448,448
SRR21839284,37124,species,Chikungunya virus,227557,227557,9,0,0
SRR13335331,37124,species,Chikungunya virus,25,25,9,38,38
SRR11356357,37124,species,Chikungunya virus,709,709,5,236,236
SRR7612718,37124,species,Chikungunya virus,59062,59062,9,0,0
SRR32463637,37124,species,Chikungunya virus,76651,76651,9,0,0
SRR11811964,37124,species,Chikungunya virus,43,43,5,80,80
SRR30549181,37124,species,Chikungunya virus,66,66,9,394,394
SRR23826948,37124,species,Chikungunya virus,67,67,9,671,671
SRR9693252,37124,species,Chikungunya virus,29,29,5,9,9
SRR31699928,37124,species,Chikungunya virus,470643,470642,9,0,2
SRR7079028,37124,species,Chikungunya virus,1303579,1303523,9,0,2
SRR7613432,37124,species,Chikungunya virus,41202,41202,9,0,0
SRR7609150,37124,species,Chikungunya virus,39014,39014,6,0,0
SRR7985391,37124,species,Chikungunya virus,358266,358266,9,0,0
SRR10179423,37124,species,Chikungunya virus,293,293,5,634,634
SRR32463593,37124,species,Chikungunya virus,53229,53229,9,0,0
SRR18926060,37124,species,Chikungunya virus,110,110,9,321,321
SRR7615980,37124,species,Chikungunya virus,102222,102222,9,0,0
SRR22418639,37124,species,Chikungunya virus,6975,6975,9,1812,1812
SRR6339308,37124,species,Chikungunya virus,129,129,7,31,31
ERR13917464,37124,species,Chikungunya virus,18,18,9,48,48
SRR6339396,37124,species,Chikungunya virus,65,65,7,26,26
SRR7617171,37124,species,Chikungunya virus,321062,321062,9,0,0
SRR3152349,37124,species,Chikungunya virus,193,193,7,230,230
SRR6026614,37124,species,Chikungunya virus,24,24,9,3365,3365
SRR13346074,37124,species,Chikungunya virus,20,20,9,57,57
SRR363385,37124,species,Chikungunya virus,186,186,7,124,124
SRR7612765,37124,species,Chikungunya virus,39471,39471,9,0,0
SRR9861803,37124,species,Chikungunya virus,357,357,5,478,478
SRR6339266,37124,species,Chikungunya virus,29,29,7,26,26
SRR7613708,37124,species,Chikungunya virus,2760,2760,9,0,0
SRR27301824,37124,species,Chikungunya virus,23,23,9,339,339
SRR3086375,37124,species,Chikungunya virus,133044,133044,7,145,145
SRR28562814,37124,species,Chikungunya virus,8414,8414,9,0,0
SRR32834207,37124,species,Chikungunya virus,164,164,9,25,25
SRR13399347,37124,species,Chikungunya virus,53,53,9,3165,3165
SRR7612760,37124,species,Chikungunya virus,112216,112216,9,0,0
SRR14582708,37124,species,Chikungunya virus,49114,49114,9,584,584
SRR5288087,37124,species,Chikungunya virus,36,36,7,176,176
SRR7613235,37124,species,Chikungunya virus,16087,16087,9,0,0
SRR7613418,37124,species,Chikungunya virus,23447,23447,9,0,0
SRR25168259,37124,species,Chikungunya virus,91,91,9,899,899
SRR10752048,37124,species,Chikungunya virus,575,575,5,31,31
SRR31538620,37124,species,Chikungunya virus,414370,414370,9,1080,1080
SRR5680285,37124,species,Chikungunya virus,3716,3716,7,504,504
SRR7616999,37124,species,Chikungunya virus,216894,216894,9,0,0
SRR11356365,37124,species,Chikungunya virus,1536,1536,5,193,193
SRR30549187,37124,species,Chikungunya virus,2534,2534,9,1006,1006
SRR31368745,37124,species,Chikungunya virus,26,26,9,394,394
DRR191512,37124,species,Chikungunya virus,48673,48673,5,0,0
ERR3132363,37124,species,Chikungunya virus,162,162,9,460,460
SRR13345899,37124,species,Chikungunya virus,25,25,9,38,38
SRR7617064,37124,species,Chikungunya virus,36479,36479,9,0,0
SRR6339372,37124,species,Chikungunya virus,324,324,7,26,26
SRR28439551,37124,species,Chikungunya virus,220,220,9,477,477
SRR7613238,37124,species,Chikungunya virus,6266,6266,6,0,0
SRR13712262,37124,species,Chikungunya virus,5131,5130,9,0,2
SRR31699954,37124,species,Chikungunya virus,625081,625079,9,0,2
SRR7985390,37124,species,Chikungunya virus,823474,823474,9,0,0
SRR5680280,37124,species,Chikungunya virus,437602,437602,7,544,544
SRR7609201,37124,species,Chikungunya virus,53088,53088,9,0,0
ERR13917500,37124,species,Chikungunya virus,35,35,9,97,97
SRR18337353,37124,species,Chikungunya virus,44,44,9,5680,5680
SRR8476452,37124,species,Chikungunya virus,1663,1663,9,834,834
ERR5105517,37124,species,Chikungunya virus,82805,82804,9,613,615
SRR7613562,37124,species,Chikungunya virus,12467,12467,9,0,0
SRR25409722,37124,species,Chikungunya virus,375,375,9,1701,1701
SRR7617313,37124,species,Chikungunya virus,1645,1645,6,88,88
SRR6339258,37124,species,Chikungunya virus,46,46,7,27,27
SRR7616918,37124,species,Chikungunya virus,45297,45297,9,0,0
SRR28993101,37124,species,Chikungunya virus,76,76,9,333,333
SRR7612726,37124,species,Chikungunya virus,208889,208889,9,0,0
SRR17464092,37124,species,Chikungunya virus,21,21,9,524,524
SRR7616835,37124,species,Chikungunya virus,34084,34084,9,0,0
ERR3331364,37124,species,Chikungunya virus,2283,2283,5,66,66
SRR7616023,37124,species,Chikungunya virus,54,54,9,0,0
SRR24860105,37124,species,Chikungunya virus,232931,232931,9,329,329
SRR25168402,37124,species,Chikungunya virus,10340,10340,9,935,935
SRR12026725,37124,species,Chikungunya virus,9487570,9487468,9,0,2
SRR9833351,37124,species,Chikungunya virus,20,20,5,115,115
DRR191516,37124,species,Chikungunya virus,71088,71088,5,0,0
SRR2511836,37124,species,Chikungunya virus,195,195,7,140,140
SRR32463641,37124,species,Chikungunya virus,70021,70021,9,0,0
ERR4634263,37124,species,Chikungunya virus,8602,8602,9,0,0
SRR23827016,37124,species,Chikungunya virus,35,35,9,871,871
SRR5680273,37124,species,Chikungunya virus,112371,112371,7,468,468
SRR5288100,37124,species,Chikungunya virus,24,24,7,171,171
SRR14363044,37124,species,Chikungunya virus,901,901,9,807,807
SRR13638089,37124,species,Chikungunya virus,5456,5455,9,341,343
SRR23471021,37124,species,Chikungunya virus,101,101,9,553,553
SRR27829075,37124,species,Chikungunya virus,31,31,9,653,653
SRR7613237,37124,species,Chikungunya virus,46049,46049,9,0,0
SRR10179470,37124,species,Chikungunya virus,104,104,5,78,78
SRR6339335,37124,species,Chikungunya virus,38,38,7,26,26
SRR12401206,37124,species,Chikungunya virus,137297,137297,9,0,0
SRR7613565,37124,species,Chikungunya virus,18946,18946,9,0,0
SRR25743502,37124,species,Chikungunya virus,342,342,9,39,39
SRR13346162,37124,species,Chikungunya virus,22,22,9,20,20
SRR23471029,37124,species,Chikungunya virus,103,103,9,1168,1168
SRR7613398,37124,species,Chikungunya virus,90159,90159,9,0,0
SRR28752872,37124,species,Chikungunya virus,440,440,9,92,92
SRR6470218,37124,species,Chikungunya virus,20,20,6,703,703
SRR7613260,37124,species,Chikungunya virus,189565,189565,9,0,0
SRR12046220,37124,species,Chikungunya virus,1332327,1332288,9,277,279
SRR7616821,37124,species,Chikungunya virus,54765,54765,9,0,0
SRR20142112,37124,species,Chikungunya virus,1038,1038,9,12,12
SRR7617075,37124,species,Chikungunya virus,72805,72805,9,0,0
SRR7615694,37124,species,Chikungunya virus,8284,8284,9,0,0
SRR6339259,37124,species,Chikungunya virus,51,51,7,22,22
SRR1984557,37124,species,Chikungunya virus,323,323,7,254,254
SRR31700005,37124,species,Chikungunya virus,252692,252692,9,128,128
SRR7613385,37124,species,Chikungunya virus,93714,93714,9,0,0
SRR31100605,37124,species,Chikungunya virus,20,20,9,251,251
SRR7615727,37124,species,Chikungunya virus,125246,125246,9,0,0
SRR7616129,37124,species,Chikungunya virus,21168,21168,9,0,0
SRR14582686,37124,species,Chikungunya virus,101857,101857,9,657,657
SRR18191200,37124,species,Chikungunya virus,66624,66624,9,338,338
SRR12046219,37124,species,Chikungunya virus,1162,1162,9,262,262
SRR10968354,37124,species,Chikungunya virus,315349,315327,6,0,2
SRR6339269,37124,species,Chikungunya virus,129,129,7,33,33
SRR26183223,37124,species,Chikungunya virus,467,467,9,335,335
SRR10752058,37124,species,Chikungunya virus,490,490,5,30,30
SRR7617073,37124,species,Chikungunya virus,33120,33120,9,0,0
SRR7613577,37124,species,Chikungunya virus,87473,87473,9,0,0
SRR12026720,37124,species,Chikungunya virus,8357737,8357649,9,0,2
SRR9020523,37124,species,Chikungunya virus,1040705,1040700,5,0,2
DRR155249,37124,species,Chikungunya virus,616,616,5,0,0
SRR7006487,37124,species,Chikungunya virus,3846,3844,9,1944,1946
SRR9020542,37124,species,Chikungunya virus,805827,805825,5,0,2
SRR6815113,37124,species,Chikungunya virus,69507,69503,9,0,2
SRR7616933,37124,species,Chikungunya virus,106681,106681,9,0,0
SRR31700003,37124,species,Chikungunya virus,761828,761826,9,0,2
SRR28351511,37124,species,Chikungunya virus,153,153,9,533,533
SRR14582684,37124,species,Chikungunya virus,135,135,9,598,598
SRR17864727,37124,species,Chikungunya virus,689,689,9,889,889
SRR11770187,37124,species,Chikungunya virus,22,22,5,763,763
SRR6339409,37124,species,Chikungunya virus,18,18,5,48,48
SRR7613439,37124,species,Chikungunya virus,69360,69360,9,0,0
SRR32463565,37124,species,Chikungunya virus,557,557,9,8,8
SRR7993748,37124,species,Chikungunya virus,88206,88206,6,0,0
SRR5640088,37124,species,Chikungunya virus,133,133,7,1207,1207
SRR13335993,37124,species,Chikungunya virus,24,24,9,29,29
SRR31724249,37124,species,Chikungunya virus,65,65,9,9473,9473
SRR27609788,37124,species,Chikungunya virus,50219,50214,9,5158,5160
SRR7613557,37124,species,Chikungunya virus,1655,1655,6,0,0
SRR7612697,37124,species,Chikungunya virus,33923,33923,9,0,0
SRR20204179,37124,species,Chikungunya virus,54,54,9,312,312
SRR7617122,37124,species,Chikungunya virus,62759,62759,9,0,0
SRR30037999,37124,species,Chikungunya virus,239332,239331,9,0,2
SRR12610917,37124,species,Chikungunya virus,27837797,27837797,9,0,0
SRR11356396,37124,species,Chikungunya virus,95,95,5,2,2
SRR7613252,37124,species,Chikungunya virus,72544,72544,9,0,0
SRR7616014,37124,species,Chikungunya virus,129586,129586,9,0,0
ERR664245,37124,species,Chikungunya virus,63,63,7,158,158
SRR21839283,37124,species,Chikungunya virus,94856,94856,9,0,0
SRR16493367,37124,species,Chikungunya virus,199831,199831,9,0,0
ERR13917539,37124,species,Chikungunya virus,48,48,9,84,84
SRR32463596,37124,species,Chikungunya virus,375,375,9,8,8
SRR7612715,37124,species,Chikungunya virus,91933,91933,9,0,0
SRR7616885,37124,species,Chikungunya virus,71693,71693,9,0,0
SRR14582688,37124,species,Chikungunya virus,98642,98642,9,577,577
SRR7609165,37124,species,Chikungunya virus,149877,149877,9,61,61
SRR7617217,37124,species,Chikungunya virus,66520,66520,9,0,0
SRR8129826,37124,species,Chikungunya virus,313,313,9,570,570
SRR6339317,37124,species,Chikungunya virus,112,112,7,32,32
SRR6339375,37124,species,Chikungunya virus,136,136,7,25,25
SRR7617250,37124,species,Chikungunya virus,38197,38197,9,0,0
SRR7616992,37124,species,Chikungunya virus,133032,133032,9,0,0
SRR7609170,37124,species,Chikungunya virus,14579,14579,9,76,76
SRR10968363,37124,species,Chikungunya virus,710970,710934,6,0,2
SRR32463566,37124,species,Chikungunya virus,553,553,9,8,8
SRR7616080,37124,species,Chikungunya virus,77,77,9,0,0
SRR5680344,37124,species,Chikungunya virus,1902,1902,7,433,433
SRR23529251,37124,species,Chikungunya virus,4037,4037,9,266,266
SRR7616887,37124,species,Chikungunya virus,70821,70821,9,0,0
SRR7617061,37124,species,Chikungunya virus,78402,78402,9,0,0
SRR21839289,37124,species,Chikungunya virus,89558,89558,9,0,0
SRR9861778,37124,species,Chikungunya virus,355,355,5,569,569
SRR16915073,37124,species,Chikungunya virus,13516,13516,9,627,627
SRR11933653,37124,species,Chikungunya virus,372,372,9,150,150
ERR13917498,37124,species,Chikungunya virus,49,49,9,72,72
SRR16493381,37124,species,Chikungunya virus,344433,344433,9,0,0
SRR32962353,37124,species,Chikungunya virus,508,508,9,562,562
SRR31700001,37124,species,Chikungunya virus,882907,882906,9,0,2
SRR10758234,37124,species,Chikungunya virus,587,587,5,558,558
SRR12956120,37124,species,Chikungunya virus,21,21,9,1708,1708
SRR11599862,37124,species,Chikungunya virus,173,173,5,288,288
SRR346395,37124,species,Chikungunya virus,89,89,7,36,36
SRR23529249,37124,species,Chikungunya virus,32913,32912,9,255,257
SRR7609205,37124,species,Chikungunya virus,32972,32972,9,0,0
ERR13917494,37124,species,Chikungunya virus,23,23,9,66,66
SRR7617233,37124,species,Chikungunya virus,98582,98582,9,0,0
SRR23827005,37124,species,Chikungunya virus,57,57,9,111,111
SRR10222629,37124,species,Chikungunya virus,32,32,5,133,133
SRR3209246,37124,species,Chikungunya virus,122,122,7,274,274
SRR9642998,37124,species,Chikungunya virus,125,125,5,85,85
SRR11250032,37124,species,Chikungunya virus,375,375,5,134,134
SRR6815179,37124,species,Chikungunya virus,113253,113248,9,0,2
ERR13917466,37124,species,Chikungunya virus,27,27,9,75,75
SRR32463578,37124,species,Chikungunya virus,431,431,9,9,9
SRR7613616,37124,species,Chikungunya virus,58752,58752,9,0,0
SRR23827058,37124,species,Chikungunya virus,21,21,9,402,402
SRR27609793,37124,species,Chikungunya virus,29881,29878,9,5595,5597
SRR14771927,37124,species,Chikungunya virus,186594,186594,9,264,264
SRR17864742,37124,species,Chikungunya virus,1001,1001,9,914,914
ERR13917473,37124,species,Chikungunya virus,50,50,9,88,88
SRR8921131,37124,species,Chikungunya virus,4105777,4105332,9,0,2
SRR16915086,37124,species,Chikungunya virus,10745,10745,9,1508,1508
SRR25168275,37124,species,Chikungunya virus,1489,1489,9,1173,1173
SRR6339350,37124,species,Chikungunya virus,45,45,7,29,29
SRR8868542,37124,species,Chikungunya virus,6741,6741,9,116,116
SRR8476501,37124,species,Chikungunya virus,3928,3928,9,801,801
SRR9020518,37124,species,Chikungunya virus,991563,991560,5,0,2
SRR12401209,37124,species,Chikungunya virus,69603,69602,9,0,2
SRR20204130,37124,species,Chikungunya virus,58,58,9,408,408
SRR7616805,37124,species,Chikungunya virus,25554,25554,9,0,0
SRR7613608,37124,species,Chikungunya virus,44592,44592,9,0,0
SRR11715767,37124,species,Chikungunya virus,350,350,5,203,203
SRR25501578,37124,species,Chikungunya virus,184,184,9,343,343
SRR13712258,37124,species,Chikungunya virus,16293,16293,9,0,0
SRR33050036,37124,species,Chikungunya virus,46,46,9,331,331
SRR25501441,37124,species,Chikungunya virus,492,492,9,502,502
SRR6339273,37124,species,Chikungunya virus,65,65,7,30,30
SRR25168264,37124,species,Chikungunya virus,1179,1179,9,888,888
SRR15923993,37124,species,Chikungunya virus,24254390,24254287,9,0,2
SRR7985620,37124,species,Chikungunya virus,195647,195647,9,0,0
ERR2860929,37124,species,Chikungunya virus,23,23,5,44,44
SRR3503467,37124,species,Chikungunya virus,348699,348699,7,919,919
SRR7616145,37124,species,Chikungunya virus,37203,37203,9,0,0
SRR22418673,37124,species,Chikungunya virus,26169,26169,9,2231,2231
SRR10179450,37124,species,Chikungunya virus,62,62,5,1475,1475
SRR9693250,37124,species,Chikungunya virus,27,27,5,10,10
SRR5680377,37124,species,Chikungunya virus,13836,13836,7,468,468
SRR22502505,37124,species,Chikungunya virus,191,191,9,280,280
SRR12401216,37124,species,Chikungunya virus,175413,175413,9,0,0
SRR25501454,37124,species,Chikungunya virus,272,272,9,417,417
SRR7617147,37124,species,Chikungunya virus,21912,21912,9,0,0
SRR32463605,37124,species,Chikungunya virus,10951,10951,9,0,0
SRR7615723,37124,species,Chikungunya virus,90764,90764,9,0,0
SRR11715791,37124,species,Chikungunya virus,88,88,5,192,192
SRR7613189,37124,species,Chikungunya virus,58293,58293,9,0,0
SRR10859268,37124,species,Chikungunya virus,5477,5477,6,334,334
SRR7609210,37124,species,Chikungunya virus,10855,10855,6,0,0
SRR14582687,37124,species,Chikungunya virus,50748,50748,9,515,515
